City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Busselton,US,42.6001,-73.9662,28.99,75,100,4.45,snow
81,Taltal,CL,-45.5752,-72.0662,71.6,40,20,8.05,few clouds
82,Mar Del Plata,AR,-54.8,-68.3,57.2,54,0,16.11,clear sky
83,Saryozek,KZ,44.3583,77.9753,33.17,90,100,2.19,overcast clouds
84,Hobyo,SO,11.2842,49.1816,75.87,78,12,4.94,few clouds
85,Salalah,OM,17.0151,54.0924,75.2,69,40,2.3,scattered clouds
86,Portland,US,42.6001,-73.9662,28.99,75,100,4.45,snow
87,Talnakh,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
88,Fortuna,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
89,Imbituba,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
90,Palabuhanratu,ID,-9.6567,120.2641,78.13,82,94,5.82,overcast clouds
91,Alekseyevsk,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
92,Lorengau,PG,-2.5744,150.7967,82.53,77,42,8.77,scattered clouds
93,Peniche,PT,37.7333,-25.6667,59.0,77,75,16.11,broken clouds
94,Luwuk,ID,-9.6567,120.2641,78.13,82,94,5.82,overcast clouds
95,Tuktoyaktuk,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
96,Hamilton,US,39.1834,-84.5333,21.99,53,1,9.22,clear sky
97,Vaini,TO,-21.2,-175.2,77.0,94,75,8.05,moderate rain
98,Mogapi,BW,-22.323,27.8349,68.97,85,53,10.07,broken clouds
99,Manokwari,ID,-9.6567,120.2641,78.13,82,94,5.82,overcast clouds
100,Barabinsk,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
101,Tokur,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
102,Sur,OM,17.0151,54.0924,75.2,69,40,2.3,scattered clouds
103,Mana,GF,5.6592,-53.7767,79.5,86,92,14.7,overcast clouds
104,Volosovo,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
105,The Valley,AI,18.217,-63.0578,84.2,65,20,18.41,few clouds
106,Port Alfred,ZA,-34.5322,20.0403,69.8,56,59,9.22,broken clouds
107,Kloulklubed,PW,7.0419,134.2556,75.2,100,90,6.91,overcast clouds
108,Bolila,PH,6.3717,125.5714,77.38,83,100,6.55,overcast clouds
109,Norsup,VU,-16.0667,167.3833,78.93,68,4,6.08,clear sky
110,Geraldton,US,42.6001,-73.9662,28.99,75,100,4.45,snow
111,Sakakah,SA,29.9697,40.2064,57.2,58,0,6.91,clear sky
